,movie_names,year_release,imdb_ratings,metascores,votes,movie_description,certificate,runtime,genre,director_name,gross_value
36,The Marvelous Mrs. Maisel,(2017– ),8.8,,62889.0,"
    A housewife in the 1960s decides to become a stand-up comic.",TV-MA,57 min,"
Comedy, Drama            ",Rachel Brosnahan,
37,The Boys,(2019– ),8.7,,131054.0,"
    A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.",TV-MA,60 min,"
Action, Comedy, Crime            ",Karl Urban,
38,The Big Bang Theory,(2007–2019),8.1,,679602.0,"
    A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.",TV-14,22 min,"
Comedy, Romance            ",Johnny Galecki,
39,6 Underground,(2019),6.1,41.0,101434.0,"
    Meet a new kind of action hero. Six untraceable agents, totally off the grid. They've buried their pasts so they can change the future.",R,128 min,"
Action, Adventure, Comedy            ",Michael Bay,
40,The Peanut Butter Falcon,(2019),7.7,70.0,33517.0,"
    Zak runs away from his care home to make his dream of becoming a wrestler come true.",PG-13,97 min,"
Adventure, Comedy, Drama            ",Tyler Nilson,"13,122,642"
41,Suits,(2011–2019),8.5,,342543.0,"
    On the run from a drug deal gone bad, brilliant college dropout Mike Ross, finds himself working with Harvey Specter, one of New York City's best lawyers.",TV-14,44 min,"
Comedy, Drama            ",Gabriel Macht,
42,Death in Paradise,(2011– ),7.8,,12487.0,"
    An Irish detective inspector in the UK Police is transferred to Saint-Marie's police department, but he hates the sun, sea and sand. The series follow his investigations into murders on the island. Later series see another British DI head the investigative team.",TV-PG,60 min,"
Comedy, Crime, Drama            ",Danny John-Jules,
43,It's Always Sunny in Philadelphia,(2005– ),8.8,,178661.0,"
    Five friends with big egos and slightly arrogant attitudes are the proprietors of an Irish pub in Philadelphia.",TV-MA,22 min,"
Comedy            ",Charlie Day,
44,Thor: Ragnarok,(2017),7.9,74.0,534286.0,"
    Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",PG-13,130 min,"
Action, Adventure, Comedy            ",Taika Waititi,"315,058,289"
45,The Goldbergs,(2013– ),8.1,,28613.0,"
    This ABC show takes place in Jenkintown, Pennsylvania in the 1980s and follows the lives of a family named The Goldbergs.",TV-PG,22 min,"
Comedy            ",Wendi McLendon-Covey,
46,Zombieland: Double Tap,(2019),6.8,55.0,84636.0,"
    Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",R,99 min,"
Action, Comedy, Horror            ",Ruben Fleischer,"26,803,104"
47,Green Book,(2018),8.2,69.0,292027.0,"
    A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.",PG-13,130 min,"
Biography, Comedy, Drama            ",Peter Farrelly,"85,080,171"
48,Parks and Recreation,(2009–2015),8.6,,189801.0,"
    The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.",TV-14,22 min,"
Comedy            ",Amy Poehler,
49,Booksmart,(2019),7.2,84.0,65717.0,"
    On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.",R,102 min,"
Comedy            ",Olivia Wilde,"22,680,962"
