,post,tweet_id,retweeted,timestamp,screenname,name
37,@starkastle https://t.co/B6XKQGep6W,1096126558874419205,False,2019-02-14 19:18:31,ThePunisher,The Punisher
38,Going at it alone. https://t.co/Bq7fkZ2vAU,1096125758978764800,False,2019-02-14 19:15:20,ThePunisher,The Punisher
39,@peakyzayn Scumbags never learn.,1095859177811935232,False,2019-02-14 01:36:02,ThePunisher,The Punisher
40,"We couldn't have done it without you, Gothamites — thanks for making #Gotham the No. 26 Live Action show on @Tumblr… https://t.co/tv1q1ffN6F",1201622821224505344,False,2019-12-02 22:03:00,Gotham,Gotham
41,"A salute to the #Gotham sound editors — their incredible work on ""I Am Bane"" is nominated for an Emmy! 🏆 #Emmys https://t.co/PZfrKwUvyG",1151246289423568896,False,2019-07-16 21:44:39,Gotham,Gotham
42,RT @TeenChoiceFOX: 🃏 @CameronMonaghan was no joke on the final season of @Gotham — RT to make him your #ChoiceTVVillain! 🃏 #TeenChoice http…,1141816813052817408,False,2019-06-20 21:15:16,Gotham,Gotham
43,"RT @TeenChoiceFOX: Citizens of @Gotham... the city needs YOU.
🦇🃏🚔🐱🐧❓
RT to help dub #Gotham your #ChoiceActionTVShow! #TeenChoice https://t…",1141816799614267392,False,2019-06-20 21:15:13,Gotham,Gotham
44,"RT @TeenChoiceFOX: 🚔 He did his duty to keep @Gotham safe.

👉 Now it's YOUR duty to RETWEET if you think @ben_mckenzie deserves the title o…",1141816768161148928,False,2019-06-20 21:15:06,Gotham,Gotham
45,"All right, Gothamites — the city needs you once again.

RETWEET to vote for #Gotham as your #TeenChoice… https://t.co/xBKqN1Svxe",1141454541868503040,False,2019-06-19 21:15:44,Gotham,Gotham
46,"After everything @ben_mckenzie has been through to protect #Gotham, we owe him this... 

RETWEET to make him your… https://t.co/pSaNyz3n0m",1141453964589686784,False,2019-06-19 21:13:27,Gotham,Gotham
47,"How ‘bout a smile? 

🃏 @CameronMonaghan is nominated for a #TeenChoice award — RETWEET to make him your… https://t.co/mndI906nJE",1141453437822853125,False,2019-06-19 21:11:21,Gotham,Gotham
48,"Penguin took Jim where it all began.
🐧🚔
See how the final season of #Gotham ends: https://t.co/voJs1ejBAV https://t.co/vrt3ZMfu4C",1123980470763577352,False,2019-05-02 16:00:01,Gotham,Gotham
49,Before he was a 🦇 he was just a boy. #BatmanDay #Gotham https://t.co/F2uX9E4HwY,1123618082742841345,False,2019-05-01 16:00:01,Gotham,Gotham
50,Enjoy a New York slice with your Pop’s milkshake. Stream @CWKatyKeene free only on The CW App:… https://t.co/F5EPFsfOBJ,1230764090236133376,False,2020-02-21 08:00:00,CW_Riverdale,Riverdale
51,RT @RiverdaleWriter: omg Josie saying she hasn’t has this kind of chemistry since Archie Andrews 😰😱 #KatyKeene,1230669466909863936,False,2020-02-21 01:44:00,CW_Riverdale,Riverdale
52,RT @RiverdaleWriter: Look @ this angel 😇#KatyKeene https://t.co/THewIMczlz,1230663527532122113,False,2020-02-21 01:20:24,CW_Riverdale,Riverdale
53,RT @CWKatyKeene: Hold tight to your heartstrings. A new episode of #KatyKeene starts now! https://t.co/mmrUjzKgOw,1230658454185861120,False,2020-02-21 01:00:14,CW_Riverdale,Riverdale
54,RT @RiverdaleWriter: There’s a new episode of #KatyKeene tonight! Who’s watching with us? We’ll be live tweeting 🍒 https://t.co/QhEdCMHPqb,1230635701986742272,False,2020-02-20 23:29:50,CW_Riverdale,Riverdale
55,RT @madchenamick: Much more fun #bts to come but for now... here’s a HUGE thank you to this unbelievable cast &amp; crew for a truly dream-come…,1230532804338839554,False,2020-02-20 16:40:57,CW_Riverdale,Riverdale
56,RT @RiverdaleWriter: We'll be live-tweeting the new #KatyKeene episode tomorrow! It's the perfect way to get your fill of #Riverdale when t…,1230246048565620736,False,2020-02-19 21:41:29,CW_Riverdale,Riverdale
57,They have each other's backs. Stream #TheTomorrowPeople free on @CWSeed: https://t.co/0rjFNGG8II https://t.co/fkUSy48LV9,1230190313437663232,False,2020-02-19 18:00:01,CW_Riverdale,Riverdale
58,RT @SarahDesjardins: Wanna hear it Betty? @CW_Riverdale https://t.co/e5ThSSSAYb,1229919859850375169,False,2020-02-19 00:05:20,CW_Riverdale,Riverdale
59,The other magic word... Stream now: https://t.co/LWIRBSp7Ue #Riverdale https://t.co/DmvpFYB2HN,1229888470526676994,False,2020-02-18 22:00:36,CW_Riverdale,Riverdale
60,"Part 1 of the DC animated movie, #Deathstroke: Knights &amp; Dragons, is now on @cwseed. Catch the conclusion later thi… https://t.co/dxz76nYfQQ",1230205408725192704,False,2020-02-19 19:00:00,CW_Arrow,Arrow
61,"RT @TheCW_Legends: Talk about making an entrance!  East Coast, a new episode of DC’s #LegendsOfTomorrow starts NOW on The CW! https://t.co/…",1229948853111050240,False,2020-02-19 02:00:32,CW_Arrow,Arrow
62,RT @CW_TheFlash: Great detecting 101. New episode of #TheFlash starts NOW! https://t.co/cpx3lPbvI2,1229933775733133312,False,2020-02-19 01:00:37,CW_Arrow,Arrow
63,RT @TheCWSupergirl: 🙈🚫 A new episode of #Supergirl starts now on The CW! https://t.co/TFp0qKXOoZ,1229224058018881537,False,2020-02-17 02:00:27,CW_Arrow,Arrow
64,RT @CWBatwoman: The Bat is back. New #Batwoman starts NOW on The CW! https://t.co/rsQCMsRdqO,1229209371864752128,False,2020-02-17 01:02:06,CW_Arrow,Arrow
65,LAST CHANCE! Stream the entire 5-episode crossover free before the first episode expires: https://t.co/7lqznqwBXy… https://t.co/R8bOs4bAZy,1228363584096362496,False,2020-02-14 17:01:14,CW_Arrow,Arrow
