PC_ID,MV_ID
51,5502
52,5504
53,5507
51,5508
54,5509
55,5511
56,5513
57,5517
58,5518
59,5520
60,5521
61,5524
59,5525
62,5529
63,5532
52,5533
64,5534
65,5536
51,5539
66,5541
67,5542
52,5544
64,5549
63,5552
68,5553
56,5554
69,5556
51,5559
56,5561
52,5562
70,5564
71,5565
57,5570
64,5573
52,5577
64,5578
64,5580
52,5581
72,5583
56,5584
73,5585
56,5588
51,5592
74,5595
