GN_ID,GN_NAME
364,Crime
365,Drama
366,Thriller
367,Action
368,Adventure
369,Mystery
370,Music
371,Romance
372,Animation
373,Comedy
374,Horror
375,Documentary
376,Sport
377,Biography
378,Fantasy
379,Sci-Fi
380,History
381,Family
