MV_ID,MV_NAME,MV_RELDATE,MV_RUNTIME,MV_BUDGET,MV_RATING,MV_LINK,MV_DIRECTOR
5549,Blockers,2018,102 min,59839515,6.2,www.imdb.com/title/tt2531344/?ref_=ttls_li_tt,Kay Cannon
5550,Thoroughbreds,2018,92 min,2830775,6.7,www.imdb.com/title/tt5649108/?ref_=ttls_li_tt,Cory Finley
5551,The Land of Steady Habits,2018,98 min,4044,6.2,www.imdb.com/title/tt6485928/?ref_=ttls_li_tt,Nicole Holofcener
5552,Support the Girls,2018,93 min,129124,6.5,www.imdb.com/title/tt6859352/?ref_=ttls_li_tt,Andrew Bujalski
5553,The Equalizer 2,2018,121 min,102084362,6.7,www.imdb.com/title/tt3766354/?ref_=ttls_li_tt,Antoine Fuqua
5554,"Love, Simon",2018,110 min,40826341,7.7,www.imdb.com/title/tt5164432/?ref_=ttls_li_tt,Greg Berlanti
5555,Incident in a Ghostland,2018,91 min,15793,6.4,www.imdb.com/title/tt6195094/?ref_=ttls_li_tt,Pascal Laugier
5556,Den of Thieves,2018,140 min,44947622,7,www.imdb.com/title/tt1259528/?ref_=ttls_li_tt,Christian Gudegast
5557,Teen Titans Go! To the Movies,2018,84 min,29562341,6.8,www.imdb.com/title/tt7424200/?ref_=ttls_li_tt,Peter Rida Michail
5558,In Darkness,2018,110 min,8914,5.8,www.imdb.com/title/tt5164184/?ref_=ttls_li_tt,Anthony Byrne
5559,Bumblebee,2018,114 min,127161167,7.1,www.imdb.com/title/tt4701182/?ref_=ttls_li_tt,Travis Knight
5560,Rampage,2018,107 min,99345950,6.1,www.imdb.com/title/tt2231461/?ref_=ttls_li_tt,Brad Peyton
5561,Maze Runner: The Death Cure,2018,143 min,58032443,6.2,www.imdb.com/title/tt4500922/?ref_=ttls_li_tt,Wes Ball
5562,12 Strong,2018,130 min,45495662,6.6,www.imdb.com/title/tt1413492/?ref_=ttls_li_tt,Nicolai Fuglsig
5563,"Don't Worry, He Won't Get Far on Foot",2018,114 min,1441705,6.9,www.imdb.com/title/tt6288124/?ref_=ttls_li_tt,Gus Van Sant
5564,Nostalgia,2018,114 min,114603,5.4,www.imdb.com/title/tt6456222/?ref_=ttls_li_tt,Mark Pellington
5565,Tully,2018,95 min,9227130,7,www.imdb.com/title/tt5610554/?ref_=ttls_li_tt,Jason Reitman
5566,A Wrinkle in Time,2018,109 min,100478608,4.2,www.imdb.com/title/tt1620680/?ref_=ttls_li_tt,Ava DuVernay
